,,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",,
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,,
Wert,Kommentar,
edgelist,,
from,ID des Knoten,
to ,Ide des Knoten (Richtung),
relation,"1= Mitglied,
2= Vorstand
4= Partei
5= Verband
6=Professur, Forschungsleitung",
,,
,,
nodelist,,
id,ID wie Edgelist,
name,Vollder Name,
sex,"1 = weiblich,
2 = männlich,
3 = divers,",
type,"1= person
2= organisation",
age,"1 = unter 18,
2 = 18 bis 25,
3 = 26 bis 34,
4 = 35 bis 64,
5 = über 64.",
party,"1= CDU/CSU
2= SPD 
3= Grüne
4= Linke
5= FDP
6=AfD
7=parteilos",Mitgliedschaft in politischer Partei
representation,"1= Politik
2= Wirtschaft
3= Gewerkschaft
4=Umwelt
5= Regionen
6= Wissenschaft                                                                                                               ",Funktion innerhalb der Organisation
position,"1= Vorsitz
2= Mitglied
3= kein Stimmrecht",
state,1=Brandenburg                                                                                                            2=Nordrhein-Westfalen                                                                                                3=Berlin                                                                                                                        4=Sachsen                                                                                                                               5=Rheinland-Pfalz                                                                                                           6=Schleswig-Holstein                                                                                                    7=Sachsen-Anhalt                                                                                                         8=Bayern                                                                                                                       9=Niedersachsen,Bundesland
NA,definiert fehlende Werte,
,,
Bearbeitungshinweise,,
"Achten Sie bitte auf die Kommentare in den Spalten. Diese erklären genauer, welche Daten erfasst werden. ",,
"Sie sehen die Kommentare, wenn Sie auf die entsprechende Spalte gehen. ",,
"Skizzieren Sie zunächst Ihr Netzwerk bzw. die Daten, die für Sie relevant sind. ",,
Welche Informationen wollen Sie erheben? Wie müssen diese erfasst sein?,,
"Legen Sie bitte im Codebuch möglichst genau fest, wie die Daten erhoben werden (Codebuch)",,
"Bitte verwenden Sie keine Sonderzeichen in der Erfassung, dazu gehören Satzzeichen, Umlaute, etc.",,
"Verpflichten Sie alle Teammitglieder darauf, das Codebuch zwingend einzuhalten. ",,
Wer seine Daten nicht sauber erstellt muss diese nachbereinigen.,,
"Dokumentieren Sie jeden Schritt Ihrer Datenerfassung mit, um dies zu rekonstruieren.",,
Nutzen Sie das Skript zur Datenbereinigung auf dem letzten Reiter!,,
"Beispiel für die Dokumentation von Codebuch, Edge- und Nodelist",,
https://github.com/hdm-crpr/226305/tree/master/data/crpr2,,
Vergeben Sie stets eindeutige Spaltenbeschriftungen. Am besten immer nur ein Begriff ohne Sonderzeichen etc.,,